지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr)
속초,21.9,25.2,19,655.6,81.1,452.4
철원,22.7,27.6,18.6,877.1,77.6,471.8
동두천,23.3,28.6,19.2,975.1,76,439.8
대관령,17.9,22.1,14.4,948.5,84,448.6
춘천,23.6,28.8,19.3,824.4,77.1,513.8
백령도,21.6,25,19,455.9,81.6,472.2
강릉,23.2,27,19.9,662.3,75.4,451.1
동해,22,25.6,19,585.5,81.1,472.1
서울,24.3,28.4,20.8,892.1,74,454.6
인천,23.4,27.3,20.5,717.3,78.7,551.2
원주,23.7,29,19.4,792.4,75.6,510.3
울릉도,21.5,24.7,19.1,453.3,83.7,489
수원,24,28.5,20.4,780.2,76.9,491
영월,22.8,28.6,18.4,727.9,76.6,469.6
충주,23.7,29.1,19.3,696.8,75.4,595.8
서산,23.5,28.1,19.8,707.7,80.4,520.4
울진,21.9,25.5,18.8,501.4,82.3,542.2
청주,24.5,29.4,20.5,711.9,73.5,526.8
대전,24.3,28.8,20.6,869.7,74.6,478.2
추풍령,22.9,28,18.8,675.4,77.5,484.7
안동,23.5,28.8,19.2,598.9,76.4,506.3
포항,24,27.9,20.9,572.2,77.1,515.2
군산,23.9,27.9,20.9,659,81.8,506.1
대구,25,29.8,21.1,602.5,70.7,500.3
전주,24.8,29.7,20.9,745,75.2,470.1
울산,24.1,28.3,20.6,649.4,76.6,491.5
창원,24.5,28.3,21.6,825.1,77.4,456.7
광주,24.7,29.3,21.2,788.3,77,487.2
부산,23.6,27,21,778.6,80.5,546.4
통영,23.8,27.4,21.1,736.8,81.4,511.2
목포,24.1,28,21.2,602.4,80.6,533.9
여수,23.6,26.7,21.3,768.1,80.6,528.3
흑산도,22,25.2,19.7,597.8,88.9,457.1
완도,23.6,27.1,20.8,772.4,82.6,487.9
제주,24.7,27.9,22.1,683.8,77.2,562.1
고산,23.9,26.6,21.6,528.5,85.6,550
성산,24,27.2,21.2,867.5,82,476.4
서귀포,24.8,27.7,22.4,878.3,80.4,470.6
진주,24.1,28.9,20.1,830,79.6,476.6
강화,22.8,27.3,19,808.2,79.4,596.6
양평,23.7,29.1,19.4,915.6,76.9,554.4
이천,23.6,28.8,19.4,836.1,74,486.3
인제,22.1,27.8,17.7,719.4,76.6,538.1
홍천,23,29.2,18.4,853.9,74.6,539.4
태백,19.9,24.8,15.7,709.1,76.7,478.2
제천,22.6,28.1,18,821.4,75.1,553.9
보은,22.9,28.2,18.4,762.6,75.8,592.1
천안,23.8,28.9,19.5,696.1,76.8,613.5
보령,23.6,27.9,20,703.3,79.8,629.7
부여,24.1,29.4,20,768.8,78.3,648.2
금산,23.5,29.1,19,748.2,75.3,584.1
부안,23.9,28.7,20.2,676.2,80.5,651.3
임실,22.9,28.4,18.6,796.9,77.6,548
정읍,24.5,29.7,20.3,706.2,75.1,564.5
남원,24,29.4,19.6,821.7,76.8,518.3
장수,22,27.1,17.7,858.3,79.3,479.8
장흥,23.7,28.5,19.9,816.5,79.4,494.2
해남,24,28.4,20.4,694.7,79.8,604.3
고흥,23.8,28.4,20,751.4,77.2,586
봉화,21.6,27.7,16.6,695.9,75.7,507.2
영주,23,28.4,18.4,741.3,75.3,587.2
문경,23.1,28.3,18.7,735.6,75.8,573.8
영덕,22.7,27.3,18.8,526.4,77.6,620.4
의성,23.5,29.6,18.3,593.1,72.9,538.9
구미,24,29.4,19.6,605.2,73.2,549
영천,23.7,29,19.2,585.6,72.9,556.7
거창,23.1,28.8,18.5,760.5,76.9,564.2
합천,24.1,29.5,19.7,750.8,73.9,523
밀양,24.3,29.6,19.9,693.5,75.4,529.5
산청,23.7,29.1,19.5,885.6,75.9,538.7
거제,23.6,27.5,20.3,1031.9,74.8,511.3
남해,24.1,28.5,20.7,939.8,76.6,567.9
